AATS3s,AATS3m,MATS2dv,GATS1c,SIC3,BDE,T,log10(k)
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1670.0,-10.237443101265953
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1675.0,-10.23384701480424
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1680.0,-10.230264559057247
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1685.0,-10.226695635753282
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1690.0,-10.223140147647126
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1695.0,-10.219597998506096
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1700.0,-10.216069093096348
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1705.0,-10.212553337169398
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1710.0,-10.209050637448884
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1715.0,-10.20556090161752
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1720.0,-10.202084038304292
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1725.0,-10.198619957071836
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1730.0,-10.195168568404043
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1735.0,-10.19172978369386
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1740.0,-10.18830351523129
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1745.0,-10.184889676191574
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1750.0,-10.181488180623585
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1755.0,-10.178098943438386
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1760.0,-10.174721880397993
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1765.0,-10.171356908104304
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1770.0,-10.168003943988204
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1775.0,-10.164662906298847
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1780.0,-10.161333714093125
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1785.0,-10.158016287225255
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1790.0,-10.154710546336588
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1795.0,-10.151416412845546
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1800.0,-10.148133808937711
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1805.0,-10.144862657556093
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1810.0,-10.141602882391533
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1815.0,-10.138354407873253
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1820.0,-10.135117159159563
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1825.0,-10.131891062128712
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1830.0,-10.128676043369865
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1835.0,-10.125472030174226
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1840.0,-10.122278950526313
1.6875,15.51457956,-0.393939394,1.262314605,0.5,84.3436191,1845.0,-10.11909673309534
